ID,姓名,颜色,领域
1,夏侯渊,紫武,三国魏国
2,典韦,紫武,三国魏国
3,曹操,紫色,三国魏国
4,郭嘉,紫文,三国魏国
5,徐晃,紫武,三国魏国
6,张合,紫色,三国魏国
7,司马懿,紫文,三国魏国
8,曹仁,蓝武,三国魏国
9,于禁,蓝武,三国魏国
10,司马望,绿武,三国魏国
11,许褚,紫武,三国魏国
12,王粲,绿文,三国魏国
13,曹丕,蓝武,三国魏国
14,荀攸,紫文,三国魏国
15,荀彧,紫文,三国魏国
16,司马昭,蓝武,三国魏国
17,陈琳,绿文,三国魏国
18,邓艾,蓝文,三国魏国
19,杜预,绿文,三国魏国
20,张辽,紫武,三国魏国
21,贾诩,蓝文,三国魏国
22,李典,蓝武,三国魏国
23,庞德,紫文,三国魏国
24,卞氏,绿文,三国魏国
25,娄圭,绿文,三国魏国
26,乐进,蓝武,三国魏国
27,司马师,蓝武,三国魏国
28,祢衡,绿文,三国魏国
29,曹洪,蓝武,三国魏国
30,程昱,蓝文,三国魏国
31,曹睿,绿色,三国魏国
32,郝昭,蓝武,三国魏国
33,蔡瑁,绿武,三国魏国
34,杨秋,绿武,三国魏国
35,侯选,绿武,三国魏国
36,马铁,蓝色,三国魏国
37,马腾,蓝武,三国魏国
38,周浚,绿文,三国魏国
39,王浚,蓝色,三国魏国
40,郑冲,绿文,三国魏国
41,司马孚,绿色,三国魏国
42,曹冲,绿文,三国魏国
43,陈群,蓝色,三国魏国
44,钟会,紫文,三国魏国
45,王双,蓝武,三国魏国
46,戏志才,绿文,三国魏国
47,华歆,蓝色,三国魏国
48,夏侯威,绿色,三国魏国
49,庞会,绿武,三国魏国
50,曹真,绿色,三国魏国
51,王基,绿武,三国魏国
52,满宠,绿文,三国魏国
53,夏侯称,蓝武,三国魏国
54,国渊,绿文,三国魏国
55,曹纯,绿武,三国魏国
56,傅嘏,绿文,三国魏国
57,向秀,绿文,三国魏国
58,张华博,绿文,三国魏国
59,曹植,蓝文,三国魏国
60,曹彰,蓝文,三国魏国
61,阮籍,绿文,三国魏国
62,牛金,绿武,三国魏国
63,崔琰,绿色,三国魏国
64,文钦,绿色,三国魏国
65,文聘,蓝武,三国魏国
66,陈宫,蓝文,三国魏国
67,陈登,绿色,三国魏国
68,张鲁,蓝武,三国魏国
69,高览,蓝武,三国魏国
70,蔡琰,蓝文,三国魏国
71,孙礼,绿武,三国魏国
72,司马炎,蓝武,三国魏国
73,张虎,绿武,三国魏国
74,吕常,绿色,三国魏国
75,钟毓,绿文,三国魏国
76,张燕,绿色,三国魏国
77,王昶,绿武,三国魏国
78,曹奂,绿武,三国魏国
79,徐邈,绿武,三国魏国
80,韩嵩,绿文,三国魏国
81,弓遵,绿文,三国魏国
82,刘茂,绿文,三国魏国
83,呼厨泉,绿文,三国魏国
84,吴质,绿文,三国魏国
85,张既,绿色,三国魏国
86,马休,绿色,三国魏国
87,程银,绿色,三国魏国
88,阎行,绿文,三国魏国
89,山涛,绿色,三国魏国
90,刘伶,绿文,三国魏国
91,阮咸,绿文,三国魏国
92,许攸,绿色,三国魏国
93,郭淮,绿色,三国魏国
94,刘琮,绿文,三国魏国
95,夏侯兰,绿色,三国魏国
96,阮瑀,绿色,三国魏国
97,诸葛诞,绿色,三国魏国
98,李孚,绿色,三国魏国
99,李辅,绿色,三国魏国
100,王植,绿文,三国魏国
101,张绣,绿色,三国魏国
102,司马伷,绿文,三国魏国
103,诸葛绪,绿色,三国魏国
104,夏侯恩,绿色,三国魏国
105,毛玠,绿文,三国魏国
106,李通,绿色,三国魏国
107,万政,绿武,三国魏国
108,黄权,绿文,三国魏国
109,枣祗,绿色,三国魏国
110,夏侯衡,绿武,三国魏国
111,冯紞,绿文,三国魏国
112,钟绅,绿武,三国魏国
113,钟缙,绿武,三国魏国
114,秦琪,绿武,三国魏国
115,吕虔,绿色,三国魏国
116,夏侯楙,绿色,三国魏国
117,曹遵,绿武,三国魏国
118,夏侯和,绿文,三国魏国
119,曹训,绿武,三国魏国
120,夏侯惠,绿色,三国魏国
121,曹彦,绿武,三国魏国
122,秦朗,绿文,三国魏国
123,曹髦,绿色,三国魏国
124,曹安民,绿色,三国魏国
125,秦明,蓝武,三国魏国
126,夏侯献,绿武,三国魏国
127,孙资,绿文,三国魏国
128,夏侯玄,绿色,三国魏国
129,刘靖,绿文,三国魏国
130,曹肇,绿文,三国魏国
131,曹羲,绿色,三国魏国
132,曹芳,绿武,三国魏国
133,夏侯尚,绿武,三国魏国
134,曹熊,绿武,三国魏国
135,曹休,绿武,三国魏国
136,程武,绿武,三国魏国
137,乐綝,绿色,三国魏国
138,刘馥,绿色,三国魏国
139,韩遂,蓝武,三国魏国
140,贾逵,绿色,三国魏国
141,史涣,绿色,三国魏国
142,牵弘,绿武,三国魏国
143,典满,绿色,三国魏国
144,司马朗,绿武,三国魏国
145,陈矫,绿文,三国魏国
146,陈骞,绿武,三国魏国
147,孟建,绿文,三国魏国
148,何仪,绿色,三国魏国
149,夏侯德,绿色,三国魏国
150,张特,绿武,三国魏国
151,夏侯荣,绿文,三国魏国
152,张缉,绿文,三国魏国
153,韦康,绿色,三国魏国
154,毕轨,绿文,三国魏国
155,郭奕,绿色,三国魏国
156,曹宇,绿武,三国魏国
157,夏侯儒,绿武,三国魏国
158,夏侯杰,绿武,三国魏国
159,朱光,绿文,三国魏国
160,曹爽,绿色,三国魏国
161,蒋济,绿色,三国魏国
162,陈泰,绿文,三国魏国
163,夏侯咸,绿色,三国魏国
164,王忠,绿色,三国魏国
165,鲍隆,绿色,三国魏国
166,钟繇,绿色,三国魏国
167,诸葛靓,绿色,三国魏国
168,傅巽,绿色,三国魏国
169,刘放,绿文,三国魏国
170,张允,绿武,三国魏国
171,曹昂,绿武,三国魏国
172,公孙康,绿武,三国魏国
173,全祎,绿色,三国魏国
174,全端,绿武,三国魏国
175,夏侯涓,绿色,三国魏国
176,田畴,绿文,三国魏国
177,王戎,绿色,三国魏国
178,朱灵,绿色,三国魏国
179,高干,绿色,三国魏国
180,蔡中,绿色,三国魏国
181,蒯越,绿色,三国魏国
182,蔡和,绿色,三国魏国
183,刘豹,绿武,三国魏国
184,张邈,蓝武,三国魏国
185,宋宪,绿色,三国魏国
186,田豫,绿文,三国魏国
187,臧霸,蓝武!,三国魏国
188,董昭,绿文,三国魏国
189,公孙恭,绿色,三国魏国
190,卞喜,绿武,三国魏国
191,卑衍,绿色,三国魏国
192,成何,绿武,三国魏国
193,曹嵩,绿色,三国魏国
194,蔡阳,绿色,三国魏国
195,车胄,绿武,三国魏国
196,胡班,绿色,三国魏国
197,蒋干,绿色,三国魏国
198,甄洛,未知,三国魏国
199,甄宓,未知,三国魏国
200,甄妃,未知,三国魏国
201,魏武宣卞皇后,绿文,三国魏国
202,文昭甄皇后,绿文,三国魏国
203,文德郭皇后,绿文,三国魏国
204,明悼毛皇后,绿文,三国魏国
205,明元郭皇后,绿文,三国魏国
206,金乡公主,绿文,三国魏国
207,东乡公主,绿文,三国魏国
208,平原懿公主,绿文,三国魏国
209,齐长公主,绿文,三国魏国
210,张郃,紫武,三国魏国
211,王图,未知,三国魏国
212,司马邕,未知,三国魏国
